2,13,6,7
2,7,7,10
2,9,8,8
2,13,6,7
2,5,11,10
2,17,7,5
2,13,6,7
2,5,5,6
2,13,6,7
2,7,9,7
2,17,7,7
2,7,7,12
2,13,6,7
2,6,6,7
2,10,14,7
2,7,8,11
2,10,7,9
2,9,8,9
2,7,7,8
2,7,7,13
2,14,9,12
2,7,9,7
2,12,7,8
1,12,11,11
2,9,10,7
2,7,7,12
2,6,7,10
2,11,6,12
2,8,10,6
2,12,11,6
2,13,10,8
2,6,9,10
2,14,11,6
2,8,7,11
2,10,8,8
2,6,10,7
2,15,8,7
2,6,8,13
2,15,8,9
2,10,6,14
2,10,9,11
2,8,10,16
2,7,9,12
2,8,12,10
2,7,8,7
1,6,9,7
2,16,6,8
2,6,6,11
2,7,6,6
2,11,8,8
2,6,7,9
2,8,7,6
2,9,8,9
2,10,8,9
2,7,10,10
2,9,7,7
2,11,7,6
2,10,9,6
2,7,7,8
2,7,8,12
2,8,8,9
2,6,10,10
2,12,7,7
2,6,7,9
2,13,8,8
2,7,7,12
2,12,12,10
2,9,12,8
2,6,10,6
2,11,11,7
2,7,13,7
2,9,8,10
2,6,7,7
2,7,11,6
2,9,6,11
2,10,8,8
2,8,8,8
2,6,8,6
2,7,7,6
2,12,12,7
2,10,7,10
2,10,10,9
2,12,7,14
1,6,7,7
2,10,14,7
2,12,7,7
2,9,10,8
2,13,6,9
2,11,6,9
2,17,6,7
2,11,9,7
2,8,7,11
2,9,8,8
2,11,8,6
2,8,7,10
2,7,15,6
2,7,6,7
2,12,6,7
2,9,7,7
2,11,7,6
