1151,829,844,792
1167,799,851,813
1178,820,804,829
1151,829,844,792
1149,850,839,835
1168,829,830,816
1151,829,844,792
1157,829,869,784
1151,829,844,792
1172,816,751,820
1159,834,828,831
1183,864,776,796
1151,829,844,792
1117,822,832,810
1157,856,797,814
1168,862,864,844
1143,761,827,811
1156,804,801,812
1180,785,834,826
1162,855,820,840
1170,841,794,806
1138,803,801,828
1138,827,818,838
1183,848,788,851
1147,822,772,854
1174,824,846,804
1146,830,836,815
1141,802,772,806
1147,810,768,804
1151,861,776,792
1141,847,832,837
1182,841,749,785
1168,816,847,805
1155,805,797,826
1161,775,856,826
1158,835,810,831
1195,804,811,795
1162,864,815,854
1159,811,797,787
1174,790,842,782
1166,830,845,771
1145,828,835,780
1179,840,794,771
1178,813,808,804
1178,825,781,844
1131,788,816,802
1169,813,817,821
1159,853,817,858
1163,817,828,827
1188,808,822,824
1178,857,828,817
1167,798,797,810
1142,815,817,818
1198,847,871,785
1172,798,844,812
1147,816,827,835
1170,853,821,854
1153,862,844,820
1186,803,819,830
1164,841,781,802
1158,784,838,812
1160,803,812,830
1154,828,835,820
1174,792,850,861
1197,835,820,782
1177,802,773,798
1168,798,845,814
1153,849,835,793
1131,864,782,855
1168,832,803,806
1148,843,827,812
1161,825,844,833
1170,845,819,770
1175,815,780,785
1155,866,864,831
1179,837,829,854
1126,804,778,859
1148,838,794,805
1173,833,831,815
1157,780,783,769
1162,786,785,809
1164,820,803,825
1176,829,860,848
1140,781,859,819
1189,798,819,847
1157,822,828,828
1157,796,783,805
1169,813,851,875
1168,822,833,844
1170,812,889,814
1140,833,792,832
1184,874,790,802
1190,780,838,784
1179,780,779,774
1154,823,841,839
1177,851,782,849
1171,824,837,795
1186,837,816,846
1170,791,863,801
1165,811,827,854
